1;Z01;1;Bad-weather package 1. M-codes: 571, 652, 659;1973 and later
;Z02;;Bad-weather package 2. M-codes: 102, 652, 659;
;Z05;;M-package. M-codes: 025, 162, 507, 616;1973 and later
;Z21;;Z01 and Z05 together;1973 and later
