888;no destination specified;
903;German mail ('Bundespost');Bundespost
904;German railroads ( 'Bundesbahn');Bundesbahn
906;Germany Army ('Bundeswehr');Bundeswehr
908;Federal Ministry of the Interior ('Bundesinnenministerium');Bundesinnenministerium 
